	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	efficiency_lfc	logBaseMean
YHL007C	169.490436384	-1.18428221909	0.360868544868	10.6859505031	0.00107952253436	0.0301002953088	-1.18428221909	2.22914519786
YHL021C	224.26257049	1.15157506422	0.386619212868	8.7827232604	0.00304096870978	0.0635796381014	1.15157506422	2.35075679571
YHL043W	39.4993790766	4.51540492964	1.54815813493	11.2643700661	0.000790089874707	0.024683497465	4.51540492964	1.59659026865
YHR006W	115.115231535	1.5891998291	0.468640828976	11.6989685226	0.000625347536302	0.0212461825459	1.5891998291	2.06113279134
YHR027C	632.669700481	-1.08235353719	0.326206857542	10.9783391098	0.000921830089842	0.0278392687132	-1.08235353719	2.80117703593
YHR030C	317.819136932	1.36025982247	0.364631377424	14.1664332126	0.000167329152224	0.0085009464625	1.36025982247	2.50218004395
YHR042W	658.705172889	-1.1739039608	0.3241730586	13.0464667153	0.000303857104715	0.0124193024153	-1.1739039608	2.81869107402
YHR064C	2104.70386579	-1.06980341562	0.30308604636	12.3873514701	0.000432251937122	0.0162049760703	-1.06980341562	3.32319099875
YHR137W	460.521733825	1.43711601101	0.436191813772	10.8980904916	0.000962634436609	0.028594977035	1.43711601101	2.66325013107
YHR142W	156.046544556	1.3435275291	0.412445142275	10.8103730608	0.00100932961602	0.0288774515405	1.3435275291	2.19325415623
YHR165C	237.318403498	-1.05319715028	0.325241653722	10.446264221	0.00122897762332	0.0334036118019	-1.05319715028	2.37533141807
YHR174W	62700.6833845	-1.08077572228	0.371465732413	8.41609416449	0.00371913903375	0.0727238841277	-1.08077572228	4.7972722743
YHR192W	80.3328210066	-1.61831711232	0.534050265498	9.05073783505	0.00262588827378	0.0582625659441	-1.61831711232	1.90489301813
YHR198C	77.5979486706	1.38366288221	0.495306409673	8.13623703244	0.00433892353269	0.0800349918573	1.38366288221	1.88985024068
YHR205W	285.030524856	-0.886029309914	0.29969691198	8.69251776395	0.00319518951753	0.0659232738104	-0.886029309914	2.45489137252
YIL011W	59.209555026	-2.24541449393	0.764634386544	8.8891740822	0.00286866467291	0.0616669880639	-2.24541449393	1.77239179727
YIL030C	302.210242669	-0.979497996937	0.307279649058	10.1545763332	0.00143943472078	0.0370842044651	-0.979497996937	2.48030917959
YIL056W	112.370977009	1.30739771893	0.429224670609	9.47515934768	0.00208272794157	0.048800470217	1.30739771893	2.05065415685
YIL078W	1899.13251806	-1.07545589942	0.274246321541	15.3038303613	9.15307272681e-05	0.00582235501523	-1.07545589942	3.27855527008
YIL094C	206.183775392	-1.21669119296	0.411266616021	8.92308149862	0.00281588997048	0.0609847724284	-1.21669119296	2.31425448764
YIL108W	154.174240859	-1.13421014607	0.356390229039	10.0405195679	0.00153134005387	0.0383611268795	-1.13421014607	2.18801181867
YIL117C	119.107659466	1.7567230238	0.542278172096	10.7447455935	0.00104575816142	0.0296080279452	1.7567230238	2.07593969059
YIL123W	1014.9032807	-2.58553636301	0.458126398863	30.9258201992	2.6808132021e-08	6.62404571209e-06	-2.58553636301	3.00642465638
YIL125W	328.793671732	-1.23556625168	0.329326860359	14.0111390769	0.000181730844357	0.00898080790839	-1.23556625168	2.51692345011
YJL034W	2389.7360301	-0.88373262324	0.266139384147	10.9822139038	0.000919904714595	0.0278392687132	-0.88373262324	3.37834993149
YJL039C	361.557863773	-1.27092232562	0.298329373784	18.0811382827	2.11688082101e-05	0.00166773393377	-1.27092232562	2.55817781174
YJL042W	84.6673771516	-1.87600713668	0.448341889132	17.6423054626	2.66591627195e-05	0.00201276678532	-1.87600713668	1.92771610629
YJL079C	131.399486342	-2.46090346095	0.812842253184	10.0905838979	0.00149028876272	0.0378561201596	-2.46090346095	2.11859366751
YJL080C	1349.34196504	-1.23851356552	0.289305531258	18.2176648852	1.97042788115e-05	0.00159869342716	-1.23851356552	3.13012202729
YJL082W	90.4400674601	-1.50458922656	0.411888405711	13.2608906967	0.000271000856338	0.0116917512306	-1.50458922656	1.95636087762
YJL108C	28.9453015621	5.0150510837	1.53536770097	15.2918656205	9.2112312603e-05	0.00582235501523	5.0150510837	1.46157807856
YJL109C	655.987554747	-0.99663516477	0.344409558329	8.36976552093	0.00381514842865	0.0740929006418	-0.99663516477	2.81689560011
YJL141C	97.2002875282	1.64428243993	0.45770566339	13.1460532238	0.000288125511414	0.0120480790773	1.64428243993	1.98766754961
YJL171C	388.299637451	-1.32763331524	0.40115561578	10.8347027264	0.000996153098433	0.0288036608675	-1.32763331524	2.58916698505
YJL172W	347.676761864	-0.967340535355	0.304998567178	10.0238682806	0.00154524592604	0.0385319121741	-0.967340535355	2.54117566413
YJL206C	38.97572506	2.4935546441	0.828842288377	9.98451803253	0.00157861869021	0.0391843433789	2.4935546441	1.59079420306
YJL213W	114.369484683	7.80827448134	1.48205349377	76.4295667863	2.2820880556e-18	6.20271533512e-15	7.80827448134	2.0583101643
YJR009C	15737.8154552	-1.44002297808	0.319799812268	20.0696676103	7.46716299759e-06	0.000724848179552	-1.44002297808	4.19694444838
YJR045C	3017.79810342	-1.01043939378	0.305246590897	10.9074817061	0.000957766402183	0.028594977035	-1.01043939378	3.47969018126
YJR075W	232.850707195	-0.875276792685	0.315520609513	7.66762998764	0.00562202533689	0.0958035414775	-0.875276792685	2.36707756127
YJR077C	718.451114533	-1.0176301047	0.295028443201	11.8334411552	0.000581763812631	0.0198897363865	-1.0176301047	2.85639722284
YJR083C	40.8041094401	2.51118618404	0.673694068076	14.9708592534	0.000109184330468	0.00645136978721	2.51118618404	1.61070390371
YJR096W	48.0490033432	-3.03934281506	0.979014512962	12.9061365134	0.000327506609836	0.0129950797888	-3.03934281506	1.68168438374
YJR109C	318.679390515	-2.05740099034	0.399831082869	26.2417940971	3.0123209101e-07	4.96211408099e-05	-2.05740099034	2.50335397789
YJR131W	117.128979504	-1.08116924435	0.392586440752	7.54674829254	0.00601184637681	0.099332513387	-1.08116924435	2.06866435947
YJR137C	115.883956852	-1.95479621318	0.405211466227	23.372776595	1.33453898443e-06	0.000168710556264	-1.95479621318	2.06402331575
YJR143C	623.727610711	-1.23197548157	0.291320369439	17.7847147173	2.47362520952e-05	0.00189389107591	-1.23197548157	2.7949949695
YKL004W	246.469001202	-1.21011227526	0.324138684633	13.8043658651	0.000202864274838	0.009603080144	-1.21011227526	2.39176230514
YKL010C	182.188818676	-1.19731373969	0.370831410317	10.4101557684	0.00125324172534	0.0338936418853	-1.19731373969	2.26052171986
YKL051W	109.249242642	1.80586689519	0.420449074577	18.7247296517	1.51011297521e-05	0.00128265220832	1.80586689519	2.03841843496
YKL062W	80.409425578	1.47021431572	0.515309124739	8.26430629136	0.00404321076263	0.0764559931432	1.47021431572	1.90530695965
YKL075C	50.6035214745	1.78961634728	0.6851197707	7.55248679651	0.0059927316607	0.0993185649621	1.78961634728	1.70418074023
YKL101W	153.894525105	-1.49857050456	0.366041652734	16.6829940905	4.4175229896e-05	0.00316472518874	-1.49857050456	2.18722316981
YKL120W	94.2093318571	1.49758841553	0.46239691024	11.1211451342	0.000853490758131	0.0265118614926	1.49758841553	1.97409392374
YKL157W	432.454517315	-0.992987399342	0.295062026789	11.3261454912	0.000764233692499	0.0240520302416	-0.992987399342	2.635940438
YKL161C	113.540064468	2.01831033116	0.654173550899	11.1085801259	0.000859292520047	0.0265404212442	2.01831033116	2.05514913648
YKL163W	44.1219156106	2.2697731946	0.951098982217	7.63083517235	0.00573787267248	0.096268752616	2.2697731946	1.64465435964
YKL176C	89.0940073627	-1.73410016771	0.488866861055	12.4888830958	0.000409380878403	0.0156717919366	-1.73410016771	1.94984849352
YKL182W	4003.78551464	-1.21516423217	0.376782026433	10.3282680814	0.00131008080881	0.0350817698358	-1.21516423217	3.602470804
YKL184W	218.791392753	-0.920589972069	0.332733541222	7.63419913415	0.00572718096045	0.096268752616	-0.920589972069	2.34003023286
YKL187C	24.2900103798	4.95136917483	1.44662962077	20.752398672	5.22660711885e-06	0.000545131229643	4.95136917483	1.38542770039
YKL201C	116.986493461	1.62870100072	0.509237981147	11.3231857612	0.000765452765231	0.0240520302416	1.62870100072	2.06813572368
YKL210W	1021.0032674	-1.19966267696	0.324357388319	13.6185999818	0.000223955630076	0.010317142416	-1.19966267696	3.00902713191
YKR001C	550.302027509	-0.842775387529	0.297295984146	8.02193677535	0.00462141227869	0.0827701097145	-0.842775387529	2.74060111291
YKR091W	110.08014995	1.29199575868	0.466450320882	7.97759087544	0.00473599255102	0.0838594641934	1.29199575868	2.04170901248
